id_seguridad,fecha,comuna,tipo_delito,sector,cantidad_casos,gravedad,edad_involucrado,codigo_temp_x,observacion_manual,id_old
1.0,2024/08/06,LA SERENA,Hurto,,8.0,Baja,28.0,,dato ingresado manualmente,602009
2.0,2024-04-11,Serena,,centro,13.0,baja,44.0,,revisar,121240
3.0,2025/10/25,la serena,Fraude,Norte,17.0,Baja,23.0,TMP-002,ok,611462
4.0,2024/03/27,Coquimbo ,Hurto,,3.0,Alta,65.0,,dato ingresado manualmente,659687
5.0,,illapel,HURTO,centro,7.0,BAJA,59.0,ERROR,,755854
6.0,sin fecha,Montepatria,Robo,centro,13.0,baja,60.0,TMP-002,,201331
7.0,2024-12-31,Montepatria,Fraude,Sur,11.0,Baja,57.0,,sin validar,87258
8.0,2024/11/28,VICUÑA,Robo,centro,18.0,,48.0,TMP-002,,569073
9.0,2025-09-07,Ovalle,Hurto,  ,7.0,Media,30.0,ERROR,,554305
10.0,05/05/2025,coquimbo,Accidente,centro,2.0,,62.0,,ok,740126
11.0,sin fecha,Monte Patria,Robo,Norte,12.0,Media,60.0,TMP-002,,825611
12.0,,Ovalle,Violencia,centro,,Baja,"61,0",ERROR,revisar,158884
13.0,Nov-17-2025,VICUÑA,,Norte,9.0,ALTA,20.0,,sin validar,431062
14.0,26/10/2025,Montepatria,Robo,CENTRO,4.0,Baja,46.0,TMP-001,revisar,453424
15.0,2025/04/04,LA SERENA,Hurto,,6.0,Alta,23.0,TMP-002,ok,430835
16.0,,LA SERENA,Robo,centro,10.0,ALTA,41.0,TMP-001,ok,595864
17.0,Apr-25-2025,Vicuña,Accidente,,3.0,,45.0,TMP-002,revisar,48568
18.0,15/12/2025,La Serena,,Centro,2.0,Alta,37.0,TMP-002,,424929
19.0,2024/04/28,la serena,Violencia,Sur,2.0,Alta,18.0,,,587700
20.0,2025-10-19,COQUIMBO,Fraude,centro,2.0,Media,59.0,TMP-001,,895016
21.0,Apr-15-2024,VICUÑA,Robo,Rural,16.0,Alta,15.0,,,66458
22.0,07/11/2025,andacollo,robo,NORTE,5.0,Alta,18.0,,sin validar,66140
23.0,2025-05-22,Illapel,Violencia,Rural,10.0,,49.0,ERROR,,426180
24.0,2024-08-06,VICUÑA,Robo,centro,11.0,Baja,42.0,,revisar,443581
25.0,2025-11-03,Coquimbo ,Robo,,7.0,,54.0,,dato ingresado manualmente,551117
26.0,20/08/2024,Ovalle,Hurto,Centro,1.0,Alta,57.0,ERROR,sin validar,665292
27.0,Apr-11-2024,Coquimbo ,Robo,Centro,19.0,alta,67.0,,ok,540019
28.0,2025-07-04,VICUÑA,Fraude,Rural,11.0,,24.0,ERROR,,735827
29.0,2024-02-04,VICUÑA,Violencia,Rural,1.0,Media,62.0,TMP-002,sin validar,307099
30.0,2024/08/25,Coquimbo ,Violencia,Sur,"19,0",Media,20.0,,,543594
31.0,sin fecha,SALAMANCA,Robo,Centro,7.0,baja,25.0,,revisar,802099
32.0,2025-04-28,ovalle,robo,Centro,7.0,baja,52.0,TMP-001,,250436
33.0,Jan-02-2024,LA SERENA,robo,Rural,"13,0",Alta,69.0,,sin validar,307270
34.0,sin fecha,Monte Patria,Robo,Sur,"11,0",Media,17.0,,dato ingresado manualmente,902174
35.0,2024/11/10,Coquimbo ,Fraude,Sur,19.0,,22.0,TMP-002,revisar,664109
36.0,,VICUÑA,Hurto,Centro,18.0,ALTA,41.0,,ok,855471
37.0,2024/05/23,SALAMANCA,Hurto,Rural,16.0,baja,14.0,,ok,413766
38.0,2024/10/01,Illapel,Hurto,Centro,14.0,Baja,52.0,,ok,618656
