fecha,comuna,tipo_delito,sector,cantidad_casos,gravedad,edad_involucrado,mes,mes_año
2024-08-06,la serena,hurto,NaN,8.0,baja,28,8.0,2024-08
2024-04-11,la serena,NaN,centro,13.0,baja,44,4.0,2024-04
2025-10-25,la serena,fraude,norte,17.0,baja,23,10.0,2025-10
2024-03-27,coquimbo,hurto,NaN,3.0,alta,65,3.0,2024-03
NaN,illapel,hurto,centro,7.0,baja,59,NaN,NaN
NaN,monte patria,robo,centro,13.0,baja,60,NaN,NaN
2024-12-31,monte patria,fraude,sur,11.0,baja,57,12.0,2024-12
2024-11-28,vicuna,robo,centro,18.0,NaN,48,11.0,2024-11
2025-09-07,ovalle,hurto,NaN,7.0,media,30,9.0,2025-09
2025-05-05,coquimbo,accidente,centro,2.0,NaN,62,5.0,2025-05
NaN,monte patria,robo,norte,12.0,media,60,NaN,NaN
NaN,ovalle,violencia,centro,NaN,baja,NaN,NaN,NaN
2025-11-17,vicuna,NaN,norte,9.0,alta,20,11.0,2025-11
2025-10-26,monte patria,robo,centro,4.0,baja,46,10.0,2025-10
2025-04-04,la serena,hurto,NaN,6.0,alta,23,4.0,2025-04
NaN,la serena,robo,centro,10.0,alta,41,NaN,NaN
2025-04-25,vicuna,accidente,NaN,3.0,NaN,45,4.0,2025-04
2025-12-15,la serena,NaN,centro,2.0,alta,37,12.0,2025-12
2024-04-28,la serena,violencia,sur,2.0,alta,18,4.0,2024-04
2025-10-19,coquimbo,fraude,centro,2.0,media,59,10.0,2025-10
2024-04-15,vicuna,robo,rural,16.0,alta,15,4.0,2024-04
2025-07-11,andacollo,robo,norte,5.0,alta,18,7.0,2025-07
2025-05-22,illapel,violencia,rural,10.0,NaN,49,5.0,2025-05
2024-08-06,vicuna,robo,centro,11.0,baja,42,8.0,2024-08
2025-11-03,coquimbo,robo,NaN,7.0,NaN,54,11.0,2025-11
2024-08-20,ovalle,hurto,centro,1.0,alta,57,8.0,2024-08
2024-04-11,coquimbo,robo,centro,19.0,alta,67,4.0,2024-04
2025-07-04,vicuna,fraude,rural,11.0,NaN,24,7.0,2025-07
2024-02-04,vicuna,violencia,rural,1.0,media,62,2.0,2024-02
2024-08-25,coquimbo,violencia,sur,NaN,media,20,8.0,2024-08
NaN,salamanca,robo,centro,7.0,baja,25,NaN,NaN
2025-04-28,ovalle,robo,centro,7.0,baja,52,4.0,2025-04
2024-01-02,la serena,robo,rural,NaN,alta,69,1.0,2024-01
NaN,monte patria,robo,sur,NaN,media,17,NaN,NaN
2024-11-10,coquimbo,fraude,sur,19.0,NaN,22,11.0,2024-11
NaN,vicuna,hurto,centro,18.0,alta,41,NaN,NaN
2024-05-23,salamanca,hurto,rural,16.0,baja,14,5.0,2024-05
2024-10-01,illapel,hurto,centro,14.0,baja,52,10.0,2024-10
2025-01-21,illapel,robo,rural,1.0,NaN,18,1.0,2025-01
2024-02-27,andacollo,NaN,norte,8.0,NaN,61,2.0,2024-02
2025-02-09,la serena,robo,sur,18.0,media,30,2.0,2025-02
2025-01-30,ovalle,accidente,norte,4.0,baja,46,1.0,2025-01
2024-09-14,andacollo,hurto,NaN,9.0,baja,49,9.0,2024-09
2024-08-01,vicuna,fraude,centro,3.0,NaN,25,8.0,2024-08
2024-01-30,la serena,hurto,centro,11.0,baja,22,1.0,2024-01
2025-04-01,monte patria,violencia,sur,18.0,baja,67,4.0,2025-04
2024-02-07,coquimbo,NaN,rural,4.0,alta,38,2.0,2024-02
2024-12-22,illapel,NaN,norte,4.0,alta,21,12.0,2024-12
NaN,monte patria,accidente,rural,18.0,baja,65,NaN,NaN
2024-02-15,illapel,robo,centro,6.0,alta,46,2.0,2024-02
2024-11-03,ovalle,hurto,centro,11.0,alta,34,11.0,2024-11
NaN,la serena,NaN,NaN,12.0,NaN,66,NaN,NaN
2025-03-10,ovalle,violencia,centro,12.0,baja,20,3.0,2025-03
2025-09-03,la serena,robo,rural,4.0,baja,50,9.0,2025-09
NaN,vicuna,robo,centro,NaN,baja,32,NaN,NaN
2025-01-05,vicuna,hurto,norte,8.0,NaN,61,1.0,2025-01
2024-08-31,salamanca,NaN,norte,6.0,baja,130,8.0,2024-08
2024-01-02,illapel,hurto,norte,NaN,NaN,NaN,1.0,2024-01
2024-09-15,la serena,accidente,sur,17.0,media,65,9.0,2024-09
2025-12-22,ovalle,robo,norte,5.0,baja,14,12.0,2025-12
2025-12-03,la serena,violencia,norte,13.0,alta,25,12.0,2025-12
2024-12-12,coquimbo,accidente,NaN,13.0,baja,24,12.0,2024-12
2024-02-02,monte patria,hurto,norte,6.0,NaN,59,2.0,2024-02
2025-03-22,salamanca,hurto,NaN,11.0,baja,69,3.0,2025-03
2024-03-18,la serena,robo,NaN,10.0,NaN,40,3.0,2024-03
2025-04-27,monte patria,accidente,rural,8.0,alta,17,4.0,2025-04
2025-09-07,la serena,robo,NaN,8.0,NaN,41,9.0,2025-09
2024-09-01,coquimbo,accidente,centro,7.0,baja,45,9.0,2024-09
2024-08-20,illapel,robo,NaN,13.0,baja,48,8.0,2024-08
2024-06-01,ovalle,hurto,norte,1.0,media,26,6.0,2024-06
NaN,monte patria,violencia,NaN,3.0,baja,51,NaN,NaN
2025-07-18,ovalle,accidente,centro,3.0,baja,14,7.0,2025-07
NaN,ovalle,NaN,NaN,3.0,alta,54,NaN,NaN
2025-05-06,illapel,hurto,norte,1.0,baja,24,5.0,2025-05
NaN,illapel,robo,norte,18.0,NaN,21,NaN,NaN
2024-08-11,coquimbo,accidente,sur,12.0,media,27,8.0,2024-08
2024-08-19,salamanca,robo,norte,NaN,NaN,35,8.0,2024-08
NaN,monte patria,accidente,centro,10.0,baja,57,NaN,NaN
2025-07-03,salamanca,fraude,NaN,4.0,baja,36,7.0,2025-07
2024-04-27,monte patria,robo,NaN,13.0,alta,48,4.0,2024-04
2024-10-02,coquimbo,violencia,centro,8.0,alta,28,10.0,2024-10
2025-07-18,coquimbo,hurto,rural,18.0,NaN,32,7.0,2025-07
2024-11-01,vicuna,NaN,NaN,5.0,alta,NaN,11.0,2024-11
2025-10-20,monte patria,NaN,centro,19.0,NaN,57,10.0,2025-10
NaN,vicuna,accidente,norte,10.0,alta,32,NaN,NaN
2025-06-22,monte patria,accidente,norte,1.0,alta,33,6.0,2025-06
2024-07-19,ovalle,hurto,sur,19.0,baja,16,7.0,2024-07
2025-03-22,monte patria,NaN,norte,12.0,alta,67,3.0,2025-03
2024-11-24,coquimbo,robo,centro,NaN,baja,43,11.0,2024-11
2025-10-30,illapel,hurto,NaN,15.0,alta,27,10.0,2025-10
NaN,ovalle,robo,sur,NaN,baja,130,NaN,NaN
2025-09-04,ovalle,NaN,centro,2.0,NaN,69,9.0,2025-09
2025-01-21,illapel,hurto,norte,4.0,alta,33,1.0,2025-01
2025-07-27,ovalle,accidente,norte,14.0,baja,25,7.0,2025-07
2025-07-12,monte patria,NaN,sur,5.0,baja,54,7.0,2025-07
2024-11-15,la serena,fraude,centro,3.0,NaN,19,11.0,2024-11
2025-01-18,illapel,robo,norte,19.0,baja,48,1.0,2025-01
NaN,coquimbo,NaN,centro,3.0,baja,61,NaN,NaN
2024-08-30,andacollo,hurto,norte,2.0,media,22,8.0,2024-08
2024-05-11,vicuna,NaN,centro,9.0,NaN,17,5.0,2024-05
NaN,monte patria,hurto,sur,13.0,NaN,56,NaN,NaN
2024-04-02,la serena,NaN,NaN,17.0,NaN,69,4.0,2024-04
2025-06-29,andacollo,violencia,sur,10.0,baja,36,6.0,2025-06
NaN,illapel,hurto,centro,14.0,alta,46,NaN,NaN
NaN,ovalle,robo,centro,12.0,NaN,58,NaN,NaN
2024-11-21,salamanca,hurto,rural,5.0,NaN,57,11.0,2024-11
2025-08-18,illapel,NaN,norte,11.0,media,57,8.0,2025-08
2024-02-22,salamanca,hurto,norte,16.0,baja,51,2.0,2024-02
NaN,andacollo,hurto,centro,17.0,baja,19,NaN,NaN
2024-08-08,monte patria,violencia,centro,3.0,NaN,53,8.0,2024-08
2024-05-27,monte patria,violencia,NaN,16.0,baja,27,5.0,2024-05
2024-07-19,ovalle,fraude,NaN,1.0,baja,17,7.0,2024-07
2024-11-21,vicuna,robo,centro,9.0,alta,NaN,11.0,2024-11
2024-04-10,la serena,violencia,sur,18.0,media,28,4.0,2024-04
2024-04-18,coquimbo,robo,norte,19.0,alta,68,4.0,2024-04
2025-02-20,salamanca,hurto,norte,14.0,baja,21,2.0,2025-02
NaN,ovalle,hurto,NaN,17.0,baja,60,NaN,NaN
2025-04-07,andacollo,NaN,centro,1.0,NaN,52,4.0,2025-04
2025-09-24,illapel,robo,rural,10.0,alta,NaN,9.0,2025-09
2024-01-14,monte patria,robo,centro,1.0,baja,26,1.0,2024-01
2025-02-16,monte patria,violencia,centro,NaN,media,45,2.0,2025-02
2024-01-19,salamanca,accidente,norte,1.0,NaN,34,1.0,2024-01
2024-03-09,coquimbo,robo,rural,4.0,baja,24,3.0,2024-03
2024-11-24,coquimbo,robo,centro,NaN,baja,37,11.0,2024-11
2024-03-24,coquimbo,NaN,NaN,NaN,baja,65,3.0,2024-03
2024-09-15,salamanca,NaN,rural,NaN,media,39,9.0,2024-09
NaN,la serena,hurto,rural,10.0,media,61,NaN,NaN
2024-12-22,salamanca,fraude,centro,4.0,NaN,14,12.0,2024-12
2025-08-16,la serena,NaN,centro,NaN,media,61,8.0,2025-08
2024-03-22,coquimbo,NaN,sur,9.0,baja,21,3.0,2024-03
NaN,vicuna,robo,centro,6.0,baja,69,NaN,NaN
2024-03-06,vicuna,NaN,rural,3.0,baja,NaN,3.0,2024-03
2025-07-07,coquimbo,robo,centro,NaN,media,46,7.0,2025-07
2024-04-17,la serena,hurto,centro,17.0,NaN,63,4.0,2024-04
NaN,illapel,violencia,NaN,16.0,baja,27,NaN,NaN
